date,driver_number,gap_to_leader,interval,meeting_key,session_key
2025-12-07 14:27:07.199000+00:00,43,,5.758,1276,9839
2025-12-07 14:27:07.386000+00:00,4,16.202,2.967,1276,9839
2025-12-07 14:27:07.574000+00:00,12,81.218,0.421,1276,9839
2025-12-07 14:27:07.886000+00:00,44,,1.49,1276,9839
2025-12-07 14:27:07.886000+00:00,87,72.83500000000001,1.871,1276,9839
2025-12-07 14:27:08.574000+00:00,10,,2.295,1276,9839
2025-12-07 14:27:08.699000+00:00,81,13.269,13.269,1276,9839
2025-12-07 14:27:09.012000+00:00,14,66.609,18.397,1276,9839
2025-12-07 14:27:09.760000+00:00,87,72.834,1.87,1276,9839
2025-12-07 14:27:09.823000+00:00,43,,5.714,1276,9839
2025-12-07 14:27:10.049000+00:00,18,74.99,2.155,1276,9839
2025-12-07 14:27:10.232000+00:00,6,87.22800000000001,3.223,1276,9839
2025-12-07 14:27:10.277000+00:00,23,83.935,2.717,1276,9839
2025-12-07 14:27:10.613000+00:00,30,,5.457,1276,9839
2025-12-07 14:27:10.741000+00:00,16,23.913,7.693,1276,9839
2025-12-07 14:27:11.349000+00:00,81,13.286,13.286,1276,9839
2025-12-07 14:27:11.760000+00:00,14,66.624,18.42,1276,9839
2025-12-07 14:27:11.760000+00:00,4,16.294,3.025,1276,9839
2025-12-07 14:27:11.869000+00:00,31,69.482,2.873,1276,9839
2025-12-07 14:27:11.920000+00:00,18,74.991,2.157,1276,9839
2025-12-07 14:27:12.320000+00:00,5,77.248,2.258,1276,9839
2025-12-07 14:27:12.819000+00:00,55,77.762,0.514,1276,9839
2025-12-07 14:27:12.866000+00:00,10,,2.256,1276,9839
2025-12-07 14:27:13.110000+00:00,63,48.266,24.045,1276,9839
2025-12-07 14:27:13.356000+00:00,27,78.226,0.464,1276,9839
2025-12-07 14:27:13.397000+00:00,44,70.982,1.5,1276,9839
2025-12-07 14:27:13.573000+00:00,6,87.203,3.268,1276,9839
2025-12-07 14:27:14.148000+00:00,5,77.257,2.266,1276,9839
2025-12-07 14:27:14.291000+00:00,43,,5.661,1276,9839
2025-12-07 14:27:14.399000+00:00,4,16.322,3.036,1276,9839
2025-12-07 14:27:14.616000+00:00,31,69.486,2.862,1276,9839
2025-12-07 14:27:14.623000+00:00,55,77.731,0.474,1276,9839
2025-12-07 14:27:15.129000+00:00,27,78.203,0.472,1276,9839
2025-12-07 14:27:15.129000+00:00,16,23.95,7.748,1276,9839
2025-12-07 14:27:15.207000+00:00,14,66.745,18.451,1276,9839
2025-12-07 14:27:15.261000+00:00,87,72.852,,1276,9839
2025-12-07 14:27:15.646000+00:00,30,,5.458,1276,9839
2025-12-07 14:27:15.719000+00:00,81,13.185,13.185,1276,9839
2025-12-07 14:27:15.906000+00:00,63,48.273,24.129,1276,9839
2025-12-07 14:27:16.034000+00:00,22,80.973,2.747,1276,9839
